Percent,State,County
12.6,GA,Pickens County
22.1,GA,Pierce County
11.7,GA,Pike County
20.8,GA,Polk County
24.4,GA,Pulaski County
18.1,GA,Putnam County
28.9,GA,Quitman County
16.1,GA,Rabun County
26.9,GA,Randolph County
24.3,GA,Richmond County
15.9,GA,Rockdale County
19.5,GA,Schley County
27.0,GA,Screven County
25.8,GA,Seminole County
22.2,GA,Spalding County
21.2,GA,Stephens County
42.0,GA,Stewart County
30.8,GA,Sumter County
25.6,GA,Talbot County
33.5,GA,Taliaferro County
27.5,GA,Tattnall County
27.3,GA,Taylor County
34.7,GA,Telfair County
36.5,GA,Terrell County
21.7,GA,Thomas County
27.1,GA,Tift County
25.1,GA,Toombs County
16.7,GA,Towns County
28.7,GA,Treutlen County
19.3,GA,Troup County
28.4,GA,Turner County
26.3,GA,Twiggs County
14.3,GA,Union County
22.7,GA,Upson County
18.8,GA,Walker County
12.7,GA,Walton County
28.4,GA,Ware County
27.7,GA,Warren County
26.3,GA,Washington County
20.8,GA,Wayne County
23.6,GA,Webster County
39.3,GA,Wheeler County
15.2,GA,White County
15.3,GA,Whitfield County
30.4,GA,Wilcox County
22.9,GA,Wilkes County
20.9,GA,Wilkinson County
21.7,GA,Worth County
10.7,HI,Hawaii
18.3,HI,Hawaii County
9.2,HI,Honolulu County
.,HI,Kalawao County
11.2,HI,Kauai County
10.7,HI,Maui County
14.7,ID,Idaho
11.7,ID,Ada County
15.8,ID,Adams County
22.3,ID,Bannock County
13.7,ID,Bear Lake County
18.0,ID,Benewah County
14.0,ID,Bingham County
8.9,ID,Blaine County
14.4,ID,Boise County
15.8,ID,Bonner County
13.2,ID,Bonneville County
15.8,ID,Boundary County
15.9,ID,Butte County
10.7,ID,Camas County
15.9,ID,Canyon County
10.8,ID,Caribou County
16.7,ID,Cassia County
15.3,ID,Clark County
15.3,ID,Clearwater County
14.0,ID,Custer County
15.0,ID,Elmore County
9.7,ID,Franklin County
15.0,ID,Fremont County
15.8,ID,Gem County
13.9,ID,Gooding County
16.3,ID,Idaho County
10.5,ID,Jefferson County
15.8,ID,Jerome County
14.7,ID,Kootenai County
19.6,ID,Latah County
17.6,ID,Lemhi County
16.3,ID,Lewis County
14.5,ID,Lincoln County
28.1,ID,Madison County
17.0,ID,Minidoka County
13.5,ID,Nez Perce County
12.2,ID,Oneida County
19.9,ID,Owyhee County
15.7,ID,Payette County
14.1,ID,Power County
21.1,ID,Shoshone County
9.8,ID,Teton County
14.6,ID,Twin Falls County
10.7,ID,Valley County
17.1,ID,Washington County
13.6,IL,Illinois
13.4,IL,Adams County
28.6,IL,Alexander County
14.8,IL,Bond County
10.3,IL,Boone County
16.7,IL,Brown County
12.6,IL,Bureau County
11.6,IL,Calhoun County
10.7,IL,Carroll County
12.2,IL,Cass County
20.1,IL,Champaign County
12.7,IL,Christian County
13.8,IL,Clark County
14.5,IL,Clay County
8.5,IL,Clinton County
21.8,IL,Coles County
16.2,IL,Cook County
13.4,IL,Crawford County
12.0,IL,Cumberland County
16.2,IL,DeKalb County
11.6,IL,De Witt County
10.2,IL,Douglas County
7.1,IL,DuPage County
13.9,IL,Edgar County
11.3,IL,Edwards County
9.8,IL,Effingham County
18.5,IL,Fayette County
11.3,IL,Ford County
18.7,IL,Franklin County
14.9,IL,Fulton County
17.9,IL,Gallatin County
16.6,IL,Greene County
7.7,IL,Grundy County
13.0,IL,Hamilton County
12.7,IL,Hancock County
20.6,IL,Hardin County
11.5,IL,Henderson County
10.7,IL,Henry County
13.3,IL,Iroquois County
23.5,IL,Jackson County
12.0,IL,Jasper County
16.7,IL,Jefferson County
11.4,IL,Jersey County
9.4,IL,Jo Daviess County
14.3,IL,Johnson County
10.8,IL,Kane County
15.2,IL,Kankakee County
4.8,IL,Kendall County
17.2,IL,Knox County
9.0,IL,Lake County
12.9,IL,La Salle County
17.7,IL,Lawrence County
12.7,IL,Lee County
12.8,IL,Livingston County
13.7,IL,Logan County
22.8,IL,McDonough County
8.1,IL,McHenry County
11.7,IL,McLean County
18.2,IL,Macon County
13.7,IL,Macoupin County
12.9,IL,Madison County
18.0,IL,Marion County
10.6,IL,Marshall County
13.9,IL,Mason County
16.8,IL,Massac County
10.3,IL,Menard County
10.1,IL,Mercer County
5.0,IL,Monroe County
16.6,IL,Montgomery County
14.8,IL,Morgan County
8.6,IL,Moultrie County
10.4,IL,Ogle County
15.6,IL,Peoria County
16.8,IL,Perry County
6.5,IL,Piatt County
15.0,IL,Pike County
18.1,IL,Pope County
24.7,IL,Pulaski County
8.8,IL,Putnam County
14.3,IL,Randolph County
14.9,IL,Richland County
13.2,IL,Rock Island County
16.4,IL,St. Clair County
23.2,IL,Saline County
15.3,IL,Sangamon County
12.9,IL,Schuyler County
11.3,IL,Scott County
11.6,IL,Shelby County
12.7,IL,Stark County
13.0,IL,Stephenson County
8.4,IL,Tazewell County
15.3,IL,Union County
18.4,IL,Vermilion County
12.2,IL,Wabash County
14.3,IL,Warren County
8.8,IL,Washington County
12.8,IL,Wayne County
14.9,IL,White County
12.8,IL,Whiteside County
8.0,IL,Will County
16.2,IL,Williamson County
14.7,IL,Winnebago County
7.0,IL,Woodford County
14.4,IN,Indiana
12.8,IN,Adams County
14.6,IN,Allen County
11.9,IN,Bartholomew County
11.1,IN,Benton County
14.5,IN,Blackford County
6.0,IN,Boone County
11.4,IN,Brown County
9.4,IN,Carroll County
13.1,IN,Cass County
10.4,IN,Clark County
12.9,IN,Clay County
11.9,IN,Clinton County
18.7,IN,Crawford County
14.6,IN,Daviess County
8.9,IN,Dearborn County
13.0,IN,Decatur County
10.5,IN,De Kalb County
23.0,IN,Delaware County
7.6,IN,Dubois County
14.0,IN,Elkhart County
16.2,IN,Fayette County
11.3,IN,Floyd County
12.1,IN,Fountain County
9.9,IN,Franklin County
11.7,IN,Fulton County
11.0,IN,Gibson County
18.0,IN,Grant County
14.7,IN,Greene County
4.7,IN,Hamilton County
6.0,IN,Hancock County
11.2,IN,Harrison County
5.5,IN,Hendricks County
14.7,IN,Henry County
16.9,IN,Howard County
10.9,IN,Huntington County
12.1,IN,Jackson County
9.3,IN,Jasper County
15.2,IN,Jay County
13.4,IN,Jefferson County
13.1,IN,Jennings County
8.0,IN,Johnson County
19.1,IN,Knox County
10.0,IN,Kosciusko County
8.6,IN,Lagrange County
16.6,IN,Lake County
15.7,IN,La Porte County
13.9,IN,Lawrence County
16.7,IN,Madison County
20.6,IN,Marion County
10.6,IN,Marshall County
13.8,IN,Martin County
14.8,IN,Miami County
23.5,IN,Monroe County
12.3,IN,Montgomery County
11.4,IN,Morgan County
12.2,IN,Newton County
9.8,IN,Noble County
10.2,IN,Ohio County
15.7,IN,Orange County
15.8,IN,Owen County
17.2,IN,Parke County
13.2,IN,Perry County
11.1,IN,Pike County
11.6,IN,Porter County
9.7,IN,Posey County
14.2,IN,Pulaski County
13.6,IN,Putnam County
18.0,IN,Randolph County
10.6,IN,Ripley County
13.9,IN,Rush County
16.7,IN,St. Joseph County
15.6,IN,Scott County
11.9,IN,Shelby County
9.4,IN,Spencer County
14.8,IN,Starke County
10.1,IN,Steuben County
16.4,IN,Sullivan County
15.9,IN,Switzerland County
18.9,IN,Tippecanoe County
8.7,IN,Tipton County
12.4,IN,Union County
17.2,IN,Vanderburgh County
12.9,IN,Vermillion County
20.4,IN,Vigo County
12.0,IN,Wabash County
10.2,IN,Warren County
7.5,IN,Warrick County
14.4,IN,Washington County
18.0,IN,Wayne County
9.5,IN,Wells County
10.9,IN,White County
7.9,IN,Whitley County
12.1,IA,Iowa
11.9,IA,Adair County
12.5,IA,Adams County
10.8,IA,Allamakee County
16.5,IA,Appanoose County
10.3,IA,Audubon County
8.3,IA,Benton County
14.2,IA,Black Hawk County
8.8,IA,Boone County
7.8,IA,Bremer County
10.3,IA,Buchanan County
13.7,IA,Buena Vista County
9.2,IA,Butler County
12.5,IA,Calhoun County
8.7,IA,Carroll County
13.9,IA,Cass County
7.3,IA,Cedar County
12.3,IA,Cerro Gordo County
10.3,IA,Cherokee County
8.5,IA,Chickasaw County
11.8,IA,Clarke County
11.6,IA,Clay County
11.2,IA,Clayton County
13.4,IA,Clinton County
15.1,IA,Crawford County
5.3,IA,Dallas County
12.7,IA,Davis County
21.7,IA,Decatur County
10.2,IA,Delaware County
14.7,IA,Des Moines County
8.6,IA,Dickinson County
12.0,IA,Dubuque County
13.8,IA,Emmet County
12.9,IA,Fayette County
14.5,IA,Floyd County
11.9,IA,Franklin County
12.1,IA,Fremont County
11.1,IA,Greene County
6.3,IA,Grundy County
10.4,IA,Guthrie County
11.0,IA,Hamilton County
9.2,IA,Hancock County
9.6,IA,Hardin County
9.9,IA,Harrison County
12.0,IA,Henry County
11.0,IA,Howard County
10.8,IA,Humboldt County
10.6,IA,Ida County
6.9,IA,Iowa County
12.9,IA,Jackson County
9.3,IA,Jasper County
15.3,IA,Jefferson County
18.3,IA,Johnson County
11.1,IA,Jones County
12.1,IA,Keokuk County
11.6,IA,Kossuth County
15.9,IA,Lee County
11.0,IA,Linn County
10.8,IA,Louisa County
14.7,IA,Lucas County
7.4,IA,Lyon County
8.2,IA,Madison County
14.4,IA,Mahaska County
9.2,IA,Marion County
11.3,IA,Marshall County
10.3,IA,Mills County
9.3,IA,Mitchell County
13.2,IA,Monona County
12.1,IA,Monroe County
13.4,IA,Montgomery County
11.5,IA,Muscatine County
9.2,IA,O'Brien County
9.6,IA,Osceola County
15.7,IA,Page County
11.6,IA,Palo Alto County
8.3,IA,Plymouth County
13.1,IA,Pocahontas County
11.9,IA,Polk County
13.5,IA,Pottawattamie County
10.9,IA,Poweshiek County
14.1,IA,Ringgold County
10.9,IA,Sac County
12.4,IA,Scott County
9.2,IA,Shelby County
7.6,IA,Sioux County
18.6,IA,Story County
11.2,IA,Tama County
14.7,IA,Taylor County
14.3,IA,Union County
15.8,IA,Van Buren County
16.0,IA,Wapello County
7.8,IA,Warren County
10.9,IA,Washington County
